timestamp,tx,ty,tz,qx,qy,qz,qw
3.580000,759326.810626,2524410.688572,38.379662,-0.003088,0.006602,0.905803,-0.423635
3.590000,759326.823414,2524410.677881,38.379906,-0.003132,0.006705,0.905992,-0.423230
3.600000,759326.836196,2524410.667175,38.380155,-0.003177,0.006808,0.906179,-0.422827
3.610000,759326.848972,2524410.656455,38.380408,-0.003221,0.006910,0.906365,-0.422427
3.620000,759326.861743,2524410.645721,38.380664,-0.003265,0.007013,0.906549,-0.422029
3.630000,759326.874508,2524410.634972,38.380924,-0.003309,0.007116,0.906732,-0.421634
3.640000,759326.887268,2524410.624208,38.381188,-0.003353,0.007218,0.906914,-0.421241
3.650000,759326.900022,2524410.613431,38.381455,-0.003396,0.007320,0.907094,-0.420850
3.660000,759326.912771,2524410.602639,38.381727,-0.003440,0.007423,0.907273,-0.420462
3.670000,759326.925514,2524410.591833,38.382002,-0.003484,0.007525,0.907451,-0.420076
3.680000,759326.938252,2524410.581014,38.382281,-0.003527,0.007627,0.907627,-0.419693
3.690000,759326.950985,2524410.570180,38.382564,-0.003570,0.007729,0.907802,-0.419312
3.700000,759326.963712,2524410.559333,38.382851,-0.003613,0.007831,0.907976,-0.418933
3.710000,759326.976434,2524410.548472,38.383141,-0.003656,0.007933,0.908148,-0.418557
3.720000,759326.989150,2524410.537597,38.383435,-0.003699,0.008035,0.908319,-0.418184
3.730000,759327.001861,2524410.526709,38.383733,-0.003742,0.008137,0.908489,-0.417812
3.740000,759327.014567,2524410.515807,38.384035,-0.003785,0.008239,0.908658,-0.417443
3.750000,759327.027268,2524410.504893,38.384341,-0.003828,0.008341,0.908825,-0.417077
3.760000,759327.039963,2524410.493964,38.384650,-0.003870,0.008442,0.908991,-0.416713
3.770000,759327.052654,2524410.483023,38.384963,-0.003913,0.008544,0.909155,-0.416351
3.780000,759327.065339,2524410.472069,38.385280,-0.003955,0.008645,0.909319,-0.415992
3.790000,759327.078018,2524410.461102,38.385601,-0.003997,0.008747,0.909481,-0.415635
3.800000,759327.090693,2524410.450122,38.385925,-0.004039,0.008848,0.909641,-0.415281
3.810000,759327.103363,2524410.439129,38.386253,-0.004082,0.008949,0.909801,-0.414928
3.820000,759327.116027,2524410.428123,38.386585,-0.004124,0.009051,0.909959,-0.414579
3.830000,759327.128686,2524410.417105,38.386921,-0.004165,0.009152,0.910116,-0.414231
3.840000,759327.141341,2524410.406074,38.387261,-0.004207,0.009253,0.910272,-0.413886
3.850000,759327.153990,2524410.395031,38.387604,-0.004249,0.009354,0.910426,-0.413544
3.860000,759327.166634,2524410.383976,38.387951,-0.004290,0.009455,0.910579,-0.413204
3.870000,759327.179273,2524410.372908,38.388302,-0.004332,0.009556,0.910731,-0.412866
3.880000,759327.191908,2524410.361829,38.388656,-0.004373,0.009657,0.910882,-0.412530
3.890000,759327.204537,2524410.350737,38.389014,-0.004415,0.009758,0.911032,-0.412197
3.900000,759327.217161,2524410.339633,38.389376,-0.004456,0.009858,0.911180,-0.411866
3.910000,759327.229781,2524410.328518,38.389742,-0.004497,0.009959,0.911327,-0.411538
3.920000,759327.242395,2524410.317390,38.390112,-0.004538,0.010059,0.911473,-0.411212
3.930000,759327.255005,2524410.306251,38.390485,-0.004579,0.010160,0.911618,-0.410888
