x,y,z
3.252300220245420093e+01,6.674077908842029894e-01,1.500000000000000000e+01
3.388363993400025720e+01,1.096640297388742136e+00,1.499551039347339909e+01
3.511489266400227649e+01,1.868135404169221525e+00,1.499006506811713635e+01
3.625163798368117085e+01,2.850613387498262874e+00,1.498561919968481604e+01
3.729985625585914732e+01,3.936216596936686685e+00,1.498456814861525999e+01
3.814898745987455442e+01,5.123306032480371641e+00,1.498890872604951241e+01
3.866386215701048457e+01,6.433237901733290798e+00,1.500000000000000000e+01
3.883441978216815471e+01,7.857281918191656445e+00,1.500000000000000000e+01
3.890714582632301699e+01,9.325012959635960996e+00,1.490752234966710432e+01
3.913949073580671012e+01,1.076356684555419818e+01,1.471032734925417174e+01
3.956731464322897551e+01,1.215550666148376635e+01,1.441700262042053282e+01
4.009126133822203286e+01,1.351722289588047232e+01,1.403527390215411508e+01
4.065466537805170333e+01,1.485557033688191275e+01,1.357668315674198745e+01
4.129977089149738134e+01,1.615527077533760902e+01,1.304861774957181098e+01
4.204096273140569195e+01,1.740946114399118017e+01,1.245682725614835284e+01
4.284626336016235371e+01,1.862416318990088726e+01,1.181169864727050189e+01
4.369416979948394442e+01,1.980476991192080760e+01,1.112399516293482904e+01
4.457914348636272450e+01,2.095505267582601405e+01,1.040180148036499830e+01
4.549662914665883306e+01,2.207868296689311904e+01,9.653019925417931191e+00
4.644207150623239500e+01,2.317933227039878830e+01,8.885684693117370969e+00
4.741091529094356360e+01,2.426067207161968398e+01,8.108025179703094665e+00
4.839860522665247089e+01,2.532637385583243983e+01,7.328484018875689898e+00
4.940058603921925595e+01,2.638010910831370737e+01,6.555699333553222097e+00
5.041230245450405079e+01,2.742554931434015231e+01,5.798460436319738953e+00
5.142919919836700160e+01,2.846636595918840840e+01,5.065645956173746356e+00
5.244672099666824039e+01,2.950623052813513070e+01,4.366153171310484638e+00
5.346031257526789204e+01,3.054881450645696361e+01,3.708827203817440576e+00
5.446547557576691645e+01,3.159774030558277502e+01,3.102397113839106435e+00
5.546434096708303940e+01,3.265091440326471428e+01,2.555296066860691440e+00
5.647177864556724103e+01,3.369525952870221630e+01,2.075672518456104676e+00
5.750410329637561091e+01,3.471645268636389403e+01,1.671646965431221155e+00
5.857759960691134182e+01,3.570019723434998582e+01,1.351397444918242652e+00
5.969123939906543796e+01,3.664740623265094399e+01,1.124070813223458032e+00
6.079767929376590985e+01,3.759968158038320496e+01,1.000000000000000000e+00
6.184191316175711250e+01,3.860535705740651480e+01,9.755720855180687323e-01
6.277027650515823609e+01,3.971134564947435308e+01,1.000000000000000000e+00
6.356429775327470111e+01,4.092729086246066572e+01,1.023138040406592841e+00
6.424328989182619409e+01,4.222282217448942276e+01,1.036294044896683531e+00
6.482842668425494992e+01,4.356559849108839444e+01,1.041140006057840406e+00
6.533488938196579454e+01,4.492992890464623912e+01,1.039562980205836595e+00
6.574984595360561457e+01,4.632121023232611634e+01,1.033486256134074077e+00
6.605228308514276137e+01,4.775391031552277354e+01,1.024667866149902906e+00
6.621597017220892667e+01,4.922942725903682515e+01,1.014896017606658596e+00
6.619832287577159491e+01,5.070818060772919011e+01,1.006269823813648712e+00
6.595356049396744424e+01,5.214258058329775025e+01,1.000747699297333870e+00
6.543974038555404604e+01,5.348620181780058402e+01,1.000000000000000000e+00
6.466661460521220306e+01,5.470830234318052732e+01,1.004879238812745657e+00
6.368050339281163730e+01,5.578889976024263575e+01,1.012808216937183925e+00
6.252343850181386387e+01,5.670318469452185894e+01,1.020090493908704765e+00
6.123439818412619928e+01,5.742330858086520351e+01,1.022861369131286002e+00
5.985231935423223604e+01,5.792138171043227857e+01,1.017344358672146898e+00
5.841613892661552399e+01,5.816951437438270744e+01,1.000000000000000000e+00
5.696477519383572030e+01,5.814085950606116882e+01,1.000000000000000000e+00
5.553665357178100237e+01,5.783616622116123551e+01,1.143143948437650659e+00
5.416966781011614529e+01,5.728595164612399770e+01,1.449328203753014854e+00
5.290185599534081717e+01,5.652207427076103841e+01,1.900197188883048671e+00
5.178033381049591100e+01,5.556913892927500598e+01,2.470727100382100971e+00
5.086565469899211678e+01,5.444101271428303335e+01,3.133623776058222177e+00
5.019704430926692851e+01,5.315894439561726159e+01,3.872935655365985053e+00
4.968164446741769780e+01,5.179279419576986498e+01,4.680438340650043827e+00
4.918463502776965868e+01,5.042589471173743476e+01,5.526274376222202633e+00
4.866511312261184230e+01,4.907741180053870522e+01,6.388502792586295165e+00
4.815411119786346461e+01,4.771744795710715437e+01,7.258037529690723133e+00
4.765197654382503600e+01,4.634077433164734572e+01,8.118287080196408212e+00
4.711026578765448392e+01,4.498104629983050273e+01,8.940949245694660874e+00
4.647652879351705479e+01,4.367511246868733110e+01,9.701270519008806659e+00
4.569831542557807325e+01,4.245982144524854363e+01,1.038321481723085249e+01
