x,y
5.344203590717177121e+02,2.667302872854585303e+02
5.455690832030317097e+02,2.791735307951598202e+02
5.569346746371313657e+02,2.914368237903037198e+02
5.684647147121752369e+02,3.035624149565374523e+02
5.801067847663219936e+02,3.155925529795084117e+02
5.918084661377304201e+02,3.275694865448637074e+02
6.035173401645591866e+02,3.395354643382506197e+02
6.151809881849667363e+02,3.515327350453163717e+02
6.267476464805641854e+02,3.636029826468510464e+02
6.382418366357092054e+02,3.757221164665534161e+02
6.498346702113100264e+02,3.877396531273848836e+02
6.617138843090178852e+02,3.994907743909120654e+02
6.740668708389507628e+02,4.108109652764331940e+02
6.868817983022892122e+02,4.217107325902152297e+02
6.996138747717410524e+02,4.326687996351342917e+02
7.116301311657267661e+02,4.442413551243590177e+02
7.223130368854440349e+02,4.569682383432266306e+02
7.314500350159436266e+02,4.709604194897647744e+02
7.392633648421738144e+02,4.858684174861536462e+02
7.459966780767888395e+02,5.013200753902055453e+02
7.518246691200122314e+02,5.170197615983929609e+02
7.565996766255486818e+02,5.330295786154628104e+02
7.600798952116427927e+02,5.495160114568852805e+02
7.619634828512157583e+02,5.664951484590613973e+02
7.617604110632267975e+02,5.835115275729996256e+02
7.589438700320311000e+02,6.000175214947596487e+02
7.530312154511581184e+02,6.154789020772994945e+02
7.441346666164997714e+02,6.295419139200773770e+02
7.327872419404701532e+02,6.419766146323572684e+02
7.194726111658001173e+02,6.524975166297152782e+02
7.046393066405246373e+02,6.607841596116952587e+02
6.887353850327593818e+02,6.665156098272931331e+02
6.722089030106192240e+02,6.693709335255053929e+02
6.555077029551530359e+02,6.690411948958343373e+02
6.390739555941175922e+02,6.655350141971307494e+02
6.233437136410466337e+02,6.592035595220645519e+02
6.087546907289943192e+02,6.504134343620908112e+02
5.958490586309239916e+02,6.394477726064399121e+02
5.853236207391266817e+02,6.264661463063873725e+02
5.776297562544629045e+02,6.117130702915957272e+02
5.716989232917341042e+02,5.959924433542213364e+02
5.659797132181030292e+02,5.802631942191235339e+02
5.600014466573014715e+02,5.647458691250395759e+02
5.541212216101969261e+02,5.490964301151170730e+02
5.483430344318417156e+02,5.332547075264926661e+02
5.421094352956182547e+02,5.176079820589191058e+02
5.348168675659788960e+02,5.025802797121411345e+02
5.258617746073766739e+02,4.885956264859035514e+02
5.146788556344167773e+02,4.761003142197299098e+02
5.012708567627549314e+02,4.658712519328749408e+02
4.860815090384118093e+02,4.588896470020872584e+02
4.696684471106336218e+02,4.552944919347102086e+02
4.526757059959450658e+02,4.545011771578070920e+02
4.356647491284221019e+02,4.552913607813518979e+02
4.190302399977772438e+02,4.552521474568886219e+02
4.031331320951605903e+02,4.519437258764025387e+02
3.880716331153961391e+02,4.449605247204682996e+02
3.737143278011475331e+02,4.356747677785390351e+02
3.599214947131839040e+02,4.254991536894213482e+02
3.465355321387658023e+02,4.152451167311679114e+02
3.333779308595840121e+02,4.050210293430305342e+02
3.202689954491618209e+02,3.948953750500890578e+02
3.070290304810228577e+02,3.849366373774230965e+02
2.934783405286904099e+02,3.752132998501122643e+02
2.794734394749335706e+02,3.657634042283011695e+02
2.656734778506532848e+02,3.559502023719632007e+02
2.534782153716217294e+02,3.445324433267981021e+02
2.435725570516043490e+02,3.311672547667438948e+02
2.360304294304190762e+02,3.162684070900988331e+02
2.309078582720586610e+02,3.002718392205114810e+02
2.282608693405160523e+02,2.836134900816303457e+02
2.281454883997841421e+02,2.667292985971042185e+02
2.306177425997390458e+02,2.500552178832200241e+02
2.357374795735017585e+02,2.340663260927041165e+02
2.435767018206203716e+02,2.193621776713136171e+02
2.541098234199538126e+02,2.064624408597047136e+02
2.668084533206152287e+02,1.953609243702794060e+02
2.809986334405955972e+02,1.859133040884686920e+02
2.962208246155984170e+02,1.784492276299114621e+02
3.121993876850459060e+02,1.737047969153718157e+02
3.286679095959709684e+02,1.722635303794315291e+02
3.453837721494471680e+02,1.735024936011355408e+02
3.621148806410663497e+02,1.762651872134524922e+02
3.786710810827474347e+02,1.794902968760567887e+02
3.950993807048263875e+02,1.826687476391562939e+02
4.115301472626579198e+02,1.854855728723456707e+02
