timestamp,tx,ty,tz,qx,qy,qz,qw
86.933333,-10.388934,4.612129,3.902106,0.014988,-0.018705,-0.780158,0.625123
86.950000,-10.296233,4.591973,3.906628,0.014894,-0.018375,-0.776633,0.629509
86.966667,-10.203453,4.572874,3.911084,0.014795,-0.018046,-0.773105,0.633849
86.983333,-10.110589,4.554902,3.915470,0.014691,-0.017717,-0.769572,0.638145
87.000000,-10.017527,4.537976,3.919793,0.014582,-0.017388,-0.766033,0.642400
87.016667,-9.924417,4.522092,3.924050,0.014467,-0.017060,-0.762488,0.646615
87.033333,-9.831269,4.507242,3.928240,0.014348,-0.016733,-0.758938,0.650790
87.050000,-9.738090,4.493420,3.932364,0.014224,-0.016406,-0.755381,0.654926
87.066667,-9.644888,4.480619,3.936420,0.014096,-0.016082,-0.751845,0.658993
87.083333,-9.551670,4.468832,3.940409,0.013962,-0.015757,-0.748288,0.663040
87.100000,-9.458443,4.458055,3.944332,0.013823,-0.015432,-0.744701,0.667076
87.116667,-9.365214,4.448280,3.948187,0.013679,-0.015107,-0.741106,0.671079
87.133333,-9.271989,4.439502,3.951976,0.013531,-0.014783,-0.737500,0.675050
87.150000,-9.178776,4.431717,3.955698,0.013378,-0.014459,-0.733883,0.678991
87.166667,-9.085575,4.424980,3.959349,0.013220,-0.014136,-0.730253,0.682903
87.183333,-8.992302,4.419278,3.962932,0.013057,-0.013814,-0.726609,0.686788
87.200000,-8.899066,4.414562,3.966448,0.012890,-0.013493,-0.722951,0.690648
87.216667,-8.805870,4.410830,3.969896,0.012719,-0.013173,-0.719276,0.694483
87.233333,-8.712722,4.408077,3.973277,0.012542,-0.012853,-0.715584,0.698295
87.250000,-8.619626,4.406303,3.976590,0.012362,-0.012535,-0.711881,0.702079
87.266667,-8.526587,4.405505,3.979834,0.012176,-0.012216,-0.708147,0.705854
87.283333,-8.433612,4.405680,3.983011,0.011986,-0.011898,-0.704395,0.709607
87.300000,-8.340705,4.406828,3.986119,0.011791,-0.011581,-0.700623,0.713340
87.316667,-8.247871,4.408947,3.989160,0.011592,-0.011265,-0.696832,0.717053
87.333333,-8.155118,4.412079,3.992128,0.011388,-0.010950,-0.693018,0.720747
87.350000,-8.062403,4.416262,3.995024,0.011181,-0.010637,-0.689180,0.724426
87.366667,-7.969785,4.421414,3.997851,0.010970,-0.010325,-0.685316,0.728090
87.383333,-7.877269,4.427534,4.000609,0.010755,-0.010016,-0.681424,0.731741
87.400000,-7.784860,4.434623,4.003297,0.010537,-0.009708,-0.677501,0.735382
87.416667,-7.692562,4.442683,4.005916,0.010316,-0.009401,-0.673529,0.739029
87.433333,-7.600382,4.451720,4.008467,0.010092,-0.009099,-0.669533,0.742658
87.450000,-7.508325,4.461735,4.010950,0.009867,-0.008799,-0.665500,0.746281
87.466667,-7.416396,4.472734,4.013365,0.009639,-0.008502,-0.661426,0.749900
87.483333,-7.324602,4.484720,4.015713,0.009409,-0.008208,-0.657311,0.753516
87.500000,-7.232961,4.497784,4.017988,0.009178,-0.007917,-0.653154,0.757128
87.516667,-7.141474,4.511892,4.020194,0.008944,-0.007630,-0.648953,0.760737
87.533333,-7.050149,4.527002,4.022332,0.008709,-0.007346,-0.644709,0.764343
87.550000,-6.958995,4.543118,4.024405,0.008471,-0.007065,-0.640420,0.767946
87.566667,-6.868026,4.560244,4.026412,0.008232,-0.006787,-0.636081,0.771548
87.583333,-6.777257,4.578384,4.028352,0.007990,-0.006511,-0.631679,0.775161
87.600000,-6.686705,4.597540,4.030227,0.007747,-0.006240,-0.627250,0.778755
87.616667,-6.596385,4.617715,4.032035,0.007503,-0.005972,-0.622775,0.782342
87.633333,-6.506313,4.638910,4.033778,0.007256,-0.005708,-0.618255,0.785924
87.650000,-6.416508,4.661139,4.035455,0.007008,-0.005448,-0.613688,0.789498
87.666667,-6.326995,4.684524,4.037059,0.006759,-0.005191,-0.609076,0.793066
87.683333,-6.237780,4.708936,4.038598,0.006507,-0.004937,-0.604418,0.796626
87.700000,-6.148878,4.734375,4.040072,0.006254,-0.004687,-0.599712,0.800177
87.716667,-6.060306,4.760842,4.041482,0.006000,-0.004441,-0.594960,0.803720
87.733333,-5.972080,4.788337,4.042827,0.005742,-0.004197,-0.590121,0.807283
87.750000,-5.884217,4.816861,4.044108,0.005484,-0.003959,-0.585265,0.810814
87.766667,-5.796734,4.846413,4.045325,0.005225,-0.003724,-0.580360,0.814335
87.783333,-5.709647,4.876994,4.046478,0.004964,-0.003493,-0.575403,0.817847
87.800000,-5.622973,4.908603,4.047568,0.004702,-0.003265,-0.570399,0.821348
87.816667,-5.536767,4.941336,4.048590,0.004438,-0.003042,-0.565353,0.824832
87.833333,-5.450985,4.975164,4.049545,0.004173,-0.002823,-0.560276,0.828291
87.850000,-5.365670,5.010022,4.050438,0.003906,-0.002607,-0.555180,0.831717
87.866667,-5.280840,5.045908,4.051269,0.003637,-0.002396,-0.550077,0.835103
87.883333,-5.196511,5.082816,4.052037,0.003365,-0.002187,-0.544942,0.838464
87.900000,-5.112692,5.120728,4.052743,0.003092,-0.001983,-0.539839,0.841760
87.916667,-5.029391,5.159620,4.053388,0.002819,-0.001784,-0.534790,0.844978
87.933333,-4.946613,5.199466,4.053971,0.002544,-0.001589,-0.529787,0.848125
87.950000,-4.864362,5.240240,4.054493,0.002268,-0.001399,-0.524842,0.851196
87.966667,-4.782678,5.281989,4.054949,0.001991,-0.001212,-0.519964,0.854185
87.983333,-4.701498,5.324708,4.055341,0.001714,-0.001030,-0.515158,0.857093
88.000000,-4.620855,5.368277,4.055673,0.001435,-0.000852,-0.510426,0.859920
88.016667,-4.540751,5.412674,4.055946,0.001155,-0.000677,-0.505767,0.862669
88.033333,-4.461187,5.457874,4.056158,0.000871,-0.000505,-0.501129,0.865372
