timestamp,tx,ty,tz,qx,qy,qz,qw
56.533333,25.155766,33.742891,13.399619,-0.038419,0.161138,-0.959295,0.228717
56.550000,25.173065,33.708596,13.386361,-0.038721,0.161614,-0.958955,0.229754
56.566667,25.190706,33.674163,13.372873,-0.039031,0.162103,-0.958606,0.230813
56.583333,25.208347,33.639730,13.359385,-0.039377,0.162644,-0.958216,0.231986
56.600000,25.226044,33.605339,13.345863,-0.039655,0.163079,-0.957903,0.232926
56.616667,25.244027,33.570766,13.332143,-0.039988,0.163601,-0.957528,0.234044
56.633333,25.262010,33.536192,13.318424,-0.040329,0.164131,-0.957144,0.235181
56.650000,25.280104,33.501705,13.304634,-0.040605,0.164560,-0.956834,0.236095
56.666667,25.298427,33.466989,13.290682,-0.040942,0.165085,-0.956453,0.237209
56.683333,25.316750,33.432273,13.276729,-0.041254,0.165567,-0.956102,0.238232
56.700000,25.335240,33.397689,13.262670,-0.041557,0.166035,-0.955762,0.239217
56.716667,25.353901,33.362828,13.248483,-0.041890,0.166549,-0.955387,0.240298
56.733333,25.372608,33.328003,13.234267,-0.042174,0.166985,-0.955068,0.241212
56.750000,25.391606,33.292993,13.219844,-0.042504,0.167494,-0.954697,0.242267
56.766667,25.410605,33.257983,13.205422,-0.042833,0.167998,-0.954327,0.243316
56.783333,25.429712,33.223062,13.190928,-0.043119,0.168437,-0.954006,0.244219
56.800000,25.449045,33.187901,13.176269,-0.043444,0.168936,-0.953640,0.245244
56.816667,25.468381,33.152742,13.161608,-0.043748,0.169398,-0.953299,0.246194
56.833333,25.488050,33.117428,13.146710,-0.044058,0.169873,-0.952951,0.247157
56.850000,25.507718,33.082113,13.131812,-0.044380,0.170363,-0.952590,0.248151
56.866667,25.527457,33.046859,13.116866,-0.044674,0.170811,-0.952261,0.249054
56.883333,25.547459,33.011388,13.101728,-0.044992,0.171296,-0.951904,0.250024
56.900000,25.567460,32.975917,13.086590,-0.045308,0.171775,-0.951550,0.250985
56.916667,25.587601,32.940566,13.071356,-0.045605,0.172228,-0.951217,0.251879
56.933333,25.607934,32.904936,13.055976,-0.045919,0.172704,-0.950866,0.252820
56.950000,25.628317,32.869349,13.040562,-0.046219,0.173159,-0.950531,0.253714
56.966667,25.648981,32.833557,13.024939,-0.046530,0.173631,-0.950185,0.254630
56.983333,25.669645,32.797764,13.009317,-0.046839,0.174099,-0.949839,0.255540
57.000000,25.690429,32.762081,12.993606,-0.047139,0.174556,-0.949505,0.256415
57.016667,25.711422,32.726123,12.977739,-0.047444,0.175019,-0.949165,0.257300
57.033333,25.732458,32.690204,12.961841,-0.047749,0.175481,-0.948826,0.258179
57.050000,25.753778,32.654079,12.945727,-0.048051,0.175940,-0.948491,0.259040
57.066667,25.775099,32.617953,12.929614,-0.048351,0.176394,-0.948157,0.259896
57.083333,25.796535,32.581935,12.913412,-0.048655,0.176858,-0.947820,0.260751
57.100000,25.818182,32.545638,12.897051,-0.048951,0.177308,-0.947492,0.261581
57.116667,25.839876,32.509387,12.880652,-0.049258,0.177776,-0.947151,0.262438
57.133333,25.861846,32.472915,12.864041,-0.049551,0.178223,-0.946829,0.263243
