x,y,z
-229.9947,734.6662,-1950.639
-218.8201,746.6653,-1978.523
-207.6061,758.7039,-2006.492
-196.3547,770.7791,-2034.54
-185.0671,782.8891,-2062.666
-173.7452,795.0309,-2090.864
-162.39,807.2029,-2119.13
-151.0038,819.402,-2147.462
-139.5878,831.6263,-2175.854
-128.1432,843.8737,-2204.303
-116.6722,856.1412,-2232.806
-105.1771,868.4257,-2261.355
-93.66257,880.7218,-2289.939
-82.13231,893.0248,-2318.549
-70.59111,905.3294,-2347.173
-59.04259,917.631,-2375.802
-47.49158,929.9238,-2404.424
-35.94172,942.2036,-2433.03
-24.39778,954.4647,-2461.608
-12.86373,966.7023,-2490.148
-1.343493,978.9117,-2518.641
10.15813,991.0873,-2547.075
21.63749,1003.225,-2575.44
33.08979,1015.318,-2603.724
44.51138,1027.363,-2631.919
55.89747,1039.354,-2660.013
67.24439,1051.287,-2687.996
78.54738,1063.155,-2715.857
89.80274,1074.955,-2743.587
101.0057,1086.681,-2771.173
112.1526,1098.329,-2798.607
123.2387,1109.892,-2825.877
134.26,1121.366,-2852.972
145.2126,1132.746,-2879.884
156.0917,1144.028,-2906.599
166.8935,1155.205,-2933.11
177.6135,1166.273,-2959.404
188.2478,1177.227,-2985.472
198.7917,1188.062,-3011.303
209.2415,1198.773,-3036.886
219.5925,1209.354,-3062.211
229.8409,1219.801,-3087.268
239.9821,1230.109,-3112.046
250.0121,1240.272,-3136.533
259.9268,1250.286,-3160.722
269.7216,1260.145,-3184.599
279.3927,1269.845,-3208.156
288.9355,1279.381,-3231.381
298.3461,1288.747,-3254.265
307.6199,1297.938,-3276.795
316.7531,1306.95,-3298.963
325.7411,1315.777,-3320.757
334.58,1324.414,-3342.168
343.2653,1332.857,-3363.184
351.7929,1341.1,-3383.795
360.1587,1349.138,-3403.99
368.3582,1356.966,-3423.76
376.3875,1364.579,-3443.094
384.242,1371.972,-3461.98
391.9179,1379.141,-3480.409
399.4106,1386.079,-3498.37
406.7162,1392.782,-3515.853
413.8308,1399.246,-3532.849
420.7572,1405.472,-3549.36
427.5006,1411.465,-3565.397
434.0666,1417.229,-3580.969
440.4603,1422.769,-3596.086
446.6875,1428.089,-3610.757
452.7535,1433.195,-3624.992
458.6637,1438.089,-3638.801
464.4237,1442.778,-3652.193
470.0388,1447.266,-3665.178
475.5144,1451.557,-3677.765
480.856,1455.655,-3689.965
486.0691,1459.566,-3701.787
491.159,1463.294,-3713.239
496.1313,1466.844,-3724.332
500.9912,1470.219,-3735.076
505.7443,1473.425,-3745.481
510.3962,1476.466,-3755.555
514.952,1479.346,-3765.308
519.4174,1482.072,-3774.751
523.7976,1484.646,-3783.893
528.0984,1487.073,-3792.742
532.3248,1489.358,-3801.309
536.4827,1491.506,-3809.605
540.577,1493.521,-3817.637
544.6136,1495.407,-3825.416
548.5977,1497.17,-3832.951
552.5349,1498.814,-3840.252
556.4305,1500.343,-3847.33
560.2899,1501.761,-3854.192
564.1188,1503.074,-3860.849
567.9222,1504.287,-3867.311
571.706,1505.403,-3873.587
575.4753,1506.427,-3879.686
579.2358,1507.364,-3885.619
582.9927,1508.217,-3891.395
586.7517,1508.993,-3897.023
590.5179,1509.695,-3902.513
594.2971,1510.329,-3907.876
598.0944,1510.897,-3913.12
601.9154,1511.406,-3918.255
605.7656,1511.86,-3923.291
609.6504,1512.262,-3928.236
613.5752,1512.619,-3933.102
617.5454,1512.933,-3937.897
621.5665,1513.211,-3942.632
625.644,1513.456,-3947.316
629.7832,1513.673,-3951.957
633.9896,1513.867,-3956.567
638.2687,1514.042,-3961.154
642.6258,1514.202,-3965.729
647.0663,1514.353,-3970.301
651.5948,1514.498,-3974.877
656.2106,1514.637,-3979.456
660.9129,1514.772,-3984.038
665.7005,1514.901,-3988.62
670.5723,1515.025,-3993.199
675.5272,1515.145,-3997.775
680.5644,1515.259,-4002.344
685.6822,1515.369,-4006.906
690.88,1515.474,-4011.458
696.1564,1515.575,-4015.998
701.5104,1515.672,-4020.524
706.9412,1515.764,-4025.034
712.4472,1515.852,-4029.526
718.0277,1515.936,-4033.999
723.6813,1516.016,-4038.449
729.4073,1516.093,-4042.877
735.2041,1516.165,-4047.278
741.071,1516.234,-4051.651
747.0067,1516.299,-4055.995
753.0102,1516.361,-4060.307
759.0803,1516.42,-4064.585
765.2161,1516.475,-4068.828
771.4161,1516.528,-4073.034
777.6796,1516.577,-4077.199
784.0054,1516.623,-4081.323
790.3923,1516.667,-4085.404
796.8395,1516.707,-4089.439
803.3454,1516.746,-4093.426
809.9094,1516.781,-4097.364
816.53,1516.815,-4101.251
823.2064,1516.846,-4105.084
829.9373,1516.875,-4108.861
836.7218,1516.901,-4112.582
843.5585,1516.926,-4116.243
850.4465,1516.949,-4119.842
857.3849,1516.97,-4123.379
864.3722,1516.99,-4126.85
871.4077,1517.008,-4130.253
878.4899,1517.024,-4133.587
885.618,1517.039,-4136.851
892.7908,1517.053,-4140.041
900.0072,1517.066,-4143.156
907.2661,1517.077,-4146.193
914.5664,1517.088,-4149.152
921.907,1517.098,-4152.029
929.2867,1517.107,-4154.823
936.7048,1517.116,-4157.533
944.1597,1517.124,-4160.155
951.6508,1517.131,-4162.688
959.1763,1517.138,-4165.13
966.7359,1517.145,-4167.479
974.3281,1517.152,-4169.733
981.9515,1517.159,-4171.892
989.6049,1517.166,-4173.953
997.2869,1517.172,-4175.918
1004.997,1517.178,-4177.787
1012.732,1517.184,-4179.56
1020.491,1517.189,-4181.236
1028.274,1517.193,-4182.815
1036.078,1517.197,-4184.298
1043.903,1517.2,-4185.685
1051.746,1517.202,-4186.975
1059.607,1517.203,-4188.168
1067.484,1517.203,-4189.264
1075.376,1517.202,-4190.264
1083.281,1517.199,-4191.167
1091.197,1517.195,-4191.973
1099.124,1517.19,-4192.683
1107.06,1517.183,-4193.295
1115.004,1517.175,-4193.811
1122.954,1517.164,-4194.229
1130.909,1517.152,-4194.552
1138.867,1517.138,-4194.776
1146.828,1517.123,-4194.904
1154.789,1517.104,-4194.935
1162.75,1517.084,-4194.868
1170.708,1517.062,-4194.705
1178.663,1517.037,-4194.444
1186.613,1517.01,-4194.086
1194.556,1516.98,-4193.63
