timestamp,tx,ty,tz,qx,qy,qz,qw
91.833333,10.523142,-17.491138,2.204690,-0.075789,0.172507,-0.899140,0.395026
91.850000,10.577650,-17.540842,2.175412,-0.075479,0.170128,-0.898105,0.398454
91.866667,10.632464,-17.590161,2.146526,-0.075103,0.167631,-0.897066,0.401910
91.883333,10.687589,-17.639094,2.118046,-0.074629,0.164869,-0.895970,0.405569
91.900000,10.743209,-17.687522,2.090148,-0.074076,0.161961,-0.894858,0.409280
91.916667,10.799319,-17.735631,2.062687,-0.073463,0.159021,-0.893774,0.412896
91.933333,10.855751,-17.783346,2.035695,-0.072783,0.155998,-0.892691,0.416497
91.950000,10.912504,-17.830667,2.009179,-0.071994,0.152726,-0.891551,0.420273
91.966667,10.969793,-17.877447,1.983369,-0.071136,0.149371,-0.890403,0.424041
91.983333,11.027547,-17.923916,1.958044,-0.070237,0.146053,-0.889292,0.427662
92.000000,11.085612,-17.969990,1.933239,-0.069271,0.142656,-0.888172,0.431279
92.016667,11.143998,-18.015660,1.908975,-0.068206,0.139080,-0.887009,0.434994
92.033333,11.203037,-18.060873,1.885446,-0.067081,0.135464,-0.885845,0.438667
92.050000,11.262368,-18.105691,1.862464,-0.065947,0.131962,-0.884733,0.442136
92.066667,11.321983,-18.150115,1.840029,-0.064735,0.128351,-0.883592,0.445646
92.083333,11.381940,-18.194099,1.818223,-0.063449,0.124648,-0.882428,0.449174
92.100000,11.442454,-18.237666,1.797130,-0.062125,0.120956,-0.881269,0.452632
92.116667,11.503217,-18.280851,1.776590,-0.060822,0.117432,-0.880167,0.455870
92.133333,11.564222,-18.323655,1.756600,-0.059438,0.113775,-0.879004,0.459210
92.150000,11.625587,-18.365977,1.737330,-0.058036,0.110149,-0.877827,0.462513
92.166667,11.687388,-18.407944,1.718692,-0.056647,0.106631,-0.876657,0.465718
92.183333,11.749395,-18.449539,1.700593,-0.055292,0.103255,-0.875495,0.468817
92.200000,11.811600,-18.490764,1.683023,-0.053909,0.099853,-0.874264,0.472001
92.216667,11.874182,-18.531436,1.666222,-0.052544,0.096540,-0.873009,0.475156
92.233333,11.937088,-18.571790,1.649880,-0.051248,0.093429,-0.871769,0.478188
92.250000,12.000166,-18.611751,1.634000,-0.049973,0.090385,-0.870463,0.481277
92.266667,12.063471,-18.651255,1.618651,-0.048721,0.087416,-0.869107,0.484395
92.283333,12.127194,-18.690294,1.603858,-0.047506,0.084556,-0.867717,0.487505
92.300000,12.191069,-18.728923,1.589468,-0.046384,0.081924,-0.866339,0.490503
92.316667,12.255090,-18.767140,1.575472,-0.045260,0.079300,-0.864874,0.493616
92.333333,12.319393,-18.804766,1.562028,-0.044167,0.076768,-0.863379,0.496722
92.350000,12.384001,-18.841999,1.548960,-0.043127,0.074375,-0.861882,0.499768
92.366667,12.448737,-18.878809,1.536238,-0.042121,0.072067,-0.860337,0.502845
92.383333,12.513645,-18.915129,1.523909,-0.041132,0.069813,-0.858750,0.505948
92.400000,12.578929,-18.950919,1.512020,-0.040166,0.067633,-0.857140,0.509042
92.416667,12.644325,-18.986276,1.500437,-0.039256,0.065588,-0.855538,0.512066
92.433333,12.709830,-19.021201,1.489154,-0.038354,0.063571,-0.853873,0.515160
92.450000,12.775575,-19.055483,1.478308,-0.037472,0.061617,-0.852186,0.518245
92.466667,12.841580,-19.089351,1.467746,-0.036625,0.059757,-0.850504,0.521277
92.483333,12.907679,-19.122783,1.457452,-0.035798,0.057945,-0.848766,0.524363
92.500000,12.973932,-19.155674,1.447486,-0.034988,0.056188,-0.847011,0.527438
92.516667,13.040495,-19.188028,1.437844,-0.034195,0.054482,-0.845240,0.530502
92.533333,13.107141,-19.219939,1.428442,-0.033437,0.052859,-0.843459,0.533539
92.550000,13.173869,-19.251406,1.419276,-0.032690,0.051273,-0.841641,0.536602
92.566667,13.240950,-19.282216,1.410468,-0.031957,0.049732,-0.839808,0.539655
92.583333,13.308099,-19.312584,1.401873,-0.031246,0.048247,-0.837961,0.542694
92.600000,13.375314,-19.342512,1.393489,-0.030555,0.046810,-0.836087,0.545742
92.616667,13.442692,-19.371802,1.385403,-0.029875,0.045414,-0.834200,0.548777
92.633333,13.510303,-19.400607,1.377541,-0.029206,0.044051,-0.832293,0.551811
92.650000,13.577969,-19.428972,1.369868,-0.028564,0.042748,-0.830369,0.554837
92.666667,13.645738,-19.456791,1.362428,-0.027932,0.041480,-0.828432,0.557852
92.683333,13.713768,-19.484027,1.355231,-0.027311,0.040246,-0.826483,0.560856
92.700000,13.781842,-19.510823,1.348206,-0.026705,0.039047,-0.824498,0.563885
92.716667,13.849970,-19.537157,1.341359,-0.026116,0.037894,-0.822517,0.566875
92.733333,13.918380,-19.562814,1.334770,-0.025537,0.036771,-0.820526,0.569853
92.750000,13.986825,-19.588030,1.328336,-0.024964,0.035667,-0.818485,0.572876
92.766667,14.055303,-19.612809,1.322054,-0.024415,0.034617,-0.816463,0.575842
92.783333,14.123914,-19.636886,1.316011,-0.023874,0.033593,-0.814431,0.578795
92.800000,14.192691,-19.660520,1.310115,-0.023332,0.032577,-0.812342,0.581803
92.816667,14.261491,-19.683719,1.304358,-0.022818,0.031619,-0.810282,0.584742
92.833333,14.330387,-19.706280,1.298799,-0.022312,0.030686,-0.808214,0.587665
92.850000,14.399460,-19.728328,1.293396,-0.021806,0.029761,-0.806098,0.590630
92.866667,14.468546,-19.749948,1.288118,-0.021319,0.028877,-0.803986,0.593564
92.883333,14.537693,-19.770997,1.283005,-0.020845,0.028025,-0.801887,0.596454
92.900000,14.607025,-19.791464,1.278053,-0.020375,0.027188,-0.799763,0.599353
92.916667,14.676363,-19.811503,1.273215,-0.019911,0.026367,-0.797592,0.602292
92.933333,14.745736,-19.831023,1.268514,-0.019467,0.025589,-0.795464,0.605148
92.950000,14.815294,-19.849911,1.263974,-0.019029,0.024829,-0.793325,0.607994
92.966667,14.884849,-19.868379,1.259539,-0.018587,0.024068,-0.791095,0.610938
92.983333,14.954413,-19.886387,1.255216,-0.018171,0.023358,-0.788941,0.613756
93.000000,15.024163,-19.903703,1.251055,-0.017761,0.022664,-0.786784,0.616556
93.016667,15.093903,-19.920600,1.246988,-0.017344,0.021965,-0.784521,0.619470
93.033333,15.163636,-19.937078,1.243016,-0.016953,0.021315,-0.782345,0.622250
93.050000,15.233545,-19.952829,1.239201,-0.016568,0.020681,-0.780164,0.625013
93.066667,15.303437,-19.968172,1.235473,-0.016174,0.020037,-0.777867,0.627901
93.083333,15.373312,-19.983110,1.231829,-0.015809,0.019445,-0.775675,0.630635
93.100000,15.443241,-19.997316,1.228331,-0.015448,0.018866,-0.773480,0.633351
93.116667,15.513255,-20.011112,1.224912,-0.015077,0.018275,-0.771157,0.636204
93.133333,15.583247,-20.024508,1.221570,-0.014735,0.017734,-0.768949,0.638894
93.150000,15.653273,-20.037210,1.218358,-0.014397,0.017206,-0.766739,0.641567
93.166667,15.723378,-20.049480,1.215223,-0.014050,0.016667,-0.764402,0.644371
93.183333,15.793455,-20.061356,1.212157,-0.013728,0.016171,-0.762171,0.647028
93.200000,15.863553,-20.072555,1.209208,-0.013412,0.015689,-0.759949,0.649654
93.216667,15.933722,-20.083307,1.206332,-0.013087,0.015198,-0.757607,0.652402
93.233333,16.003859,-20.093673,1.203520,-0.012784,0.014742,-0.755355,0.655025
93.250000,16.074002,-20.103385,1.200812,-0.012489,0.014303,-0.753124,0.657604
93.266667,16.144209,-20.112636,1.198173,-0.012186,0.013855,-0.750772,0.660304
93.283333,16.214379,-20.121507,1.195593,-0.011902,0.013439,-0.748504,0.662887
93.300000,16.284543,-20.129746,1.193108,-0.011627,0.013039,-0.746269,0.665415
93.316667,16.354762,-20.137521,1.190687,-0.011343,0.012631,-0.743911,0.668063
93.333333,16.424940,-20.144923,1.188319,-0.011077,0.012251,-0.741632,0.670604
